ID,DEPARTAMENTO,REFERENCIA,DESCRIPCION,VIA AFECTADA,FECHA,LONG,LAT,EVENTO,FUENTE,HubName,HubDist,cod_tramo,codigo_via,pr_inicial,dist_ini,pr_finl,dist_fin,territoria,tramo,sector,administra,ruta,length_km,corrlog
"9698",TOLIMA,Todo el tramo vial,"(Aplica en ambos sentidos)- ETAPA 9 - *La Resolución 00975 del 15 de abril de 2021: Autoriza el cierre total de unos sectores de la Red Vial Nacional, para la realización del evento deportivo denominado “VUELTA COLOMBIA 2021”. Se llevará a cabo el sábado 24 de abril de 2021 de 06:30 am a 12:45 pm.",Ibagué – Mariquita - Fresno – Mariquita -  Mariquita - Honda (Puente Luis Ignacio Andrade) Río Seco – Villeta - Honda - Villeta - Villeta - Bogotá,2021/04/24,-74.931578417,4.76696610800002,Evento Deportivo,FEDERACIÓN COLOMBIANA DE CICLISMO,"479",10641.393765883,"43050","4305","0",0,"105",193,"24",Alternas a la Troncal del Magdalena,Ibagué - Mariquita,"2",,105.607940039613,
"9699",TOLIMA,Sin referencia,No aplica restricción en la vía Ibagué - Venadillo el día domingo 10 de septiembre del 2023.,Ibagué - Venadillo,2023/09/03,-74.940875009,4.60359660500001,Para vehículos,Ministerio de Transporte,"479",25253.3438884959,"43050","4305","0",0,"105",193,"24",Alternas a la Troncal del Magdalena,Ibagué - Mariquita,"2",,105.607940039613,
"9700",TOLIMA,Todo el tramo vial,"Vía Ibagué - Calarcá, Restricción de carga, para vehículos con capacidad igual o superior a 3.4 toneladas. Puente festivo Día de San Pedro y San Pablo. Sábado 03 julio 2021 desde las 06:00 hasta las 14:00 horas, aplica en ambos sentidos. Domingo 04 julio 2021 no aplica restricción de carga. Lunes 05 julio 2021 desde las 10:00 a 23:00 horas, aplica en ambos sentidos. Link de consulta: https://bit.ly/365uUzE",Ibagué - Calarcá,2021/07/03,-75.415822065,4.44268763299999,Restricción de carga,Ministerio de Transporte,"492",2246.03216826571,"400350","4003","50",365,"80",194,"24",Transversal Buenaventura - Villavicencio - Puerto Carreño,Cajamarca - Puente Cajamarca - Ibagué,"2",,6.69256468014926,1. Bogotá-B/ventura-Ipiales
"9701",TOLIMA,Etapa 5.  TOLIMA / QUINDÍO.,"Resolución N° 00975. 15 Abril 2021. Artículo Primero: Autorizar el cierre total de unos sectores dela Red Vial Nacional, para la realización del evento deportivo denominado ""VUELTA COLOMBIA 2021"" 
solicitado por la FEDERACIÓN COLOMBIANA DE CICLISMO para los días, recorridos y horarios citados a continuación:
Recorrido Autorizado:
Variante de Ibagué, Ruta Nacional 40TLC, entre el Km  0+0000 y el Km 11+0000.
Variante de Ibagué, Ruta Nacional 40TLC, entre el Km 13+0200 y el Km 24+0850.
Ibagué (Puente Blanco) - Cruce Ruta 45 (Espinal), Ruta Nacional 4004, entre el
Km 16+0300 y el Km 18+0200.
Ibagué (Puente Blanco) - Cruce Ruta 45 (Espinal), Ruta Nacional 4004, entre el
Km 0+0000 y el Km 10+0400.
Variante Gualanday (Calzada Derecha), Ruta Nacional 40TLD, entre el
Km 0+0000 y el Km 6+0846.
Variante Picaleña, Ruta Nacional 40TLF, entre el Km 0+0000 y el Km 15+0700.
Cajamarca - Puente Cajamarca – Ibagué, Ruta Nacional 4003, entre el
Km 50+0000 y el Km 80+0194.
La Línea – Cajamarca, Ruta Nacional 4003, entre el  Km 27+0000 y el
Km 49+0800.
Armenia - La Línea, Ruta Nacional 4003, entre el Km 26+0000 y el Km 27+0000",Variante de Ibagué - Puente Blanco - Espinal -  Variante Gualanday (Calzada Derecha) - Variante Picaleña - Cajamarca - Puente Cajamarca - Ibagué - La Línea - Armenia,2021/04/20,-75.267872226,4.41009514299998,Evento Deportivo,FEDERACIÓN COLOMBIANA DE CICLISMO,"269",5750.51697027364,"400350","4003","50",365,"80",194,"24",Transversal Buenaventura - Villavicencio - Puerto Carreño,Cajamarca - Puente Cajamarca - Ibagué,"2",,20.5972760905053,1. Bogotá-B/ventura-Ipiales
"9702",TOLIMA,Variante de Melgar,Vía Girardot - Bogotá por mantenimiento vial en  sector Variante de Melgar. Aplica en sentido Girardot - Bogotá. No hay ruta alterna,Girardot - Bogotá,2021/04/26,-74.6443102,4.21102988899997,Mantenimiento vial,VÍA 40 EXPRESS,"272",1093.58330662551,40TLE0,40TLE,"0",0,"4",338,"12",Transversal Buenaventura - Villavicencio - Puerto Carreño,Variante Melgar,"2",,8.17258673292598,
"9703",TOLIMA,La Paloma,"Vía Calarcá - Ibagué, por Caída de piedra sector La Paloma, km 40+00. Aplica en ambos sentidos. No hay ruta alterna.",Calarcá - Ibagué,2021/06/10,-75.496103856,4.437999698,Caída de piedra,DITRA,"610",6878.59902166849,4003A,4003A,"5",0,"36",92,"20",Tramo alterno,Calarcá - Cajamarca,"1","40",31.2940740517854,1. Bogotá-B/ventura-Ipiales
"9704",TOLIMA,Etapa 4. Todo el tramo vial,"Resolución N° 00975. 15 Abril 2021. Artículo Primero: Autorizar el cierre total de unos sectores dela Red Vial Nacional, para la realización del evento deportivo denominado ""VUELTA COLOMBIA 2021"" solicitado por la FEDERACIÓN COLOMBIANA DE CICLISMO para los días, recorridos y horarios citados a continuación:
Recorrido Autorizado: Girardot – Cambao, Ruta Nacional 4508, entre el Km 0+0000 y el Km 8+0000.
***Cruce Ruta 40 (Variante Chicoral) - Cruce Ruta 45 (Girardot), Ruta Nacional
40TL06, entre el Km 6+0118 y el Km 2+0847. (Cierre total calzada Girardot –
Ibagué).
***Variante Chicoral, Ruta Nacional 4004B, entre el Km 0+0000 y el Km 19+0000.
(Cierre total calzada Girardot – Ibagué).
***Variante Gualanday (Cierre total calzada Girardot – Ibagué), Ruta Nacional
40TLD, entre el PR0+000 y el Km 6+0846.
***Ibagué (Puente Blanco) - Cruce Ruta 45 (Espinal), Ruta Nacional 4004, entre
el Km 0+0000 y el Km 10+0400.
****Variante de Ibagué, Ruta Nacional 40TLC, entre el Km 13+0000 y el
Km 24+0850.",Girardot - Cambao - Espinal - Variante Chicoral - (cierre total calzada Girardot - Ibagué) - Variante Gualanday - Ibagué (Puente Blanco) Variante Ibagué.,2021/04/19,-75.048074716,4.29848470500002,Evento Deportivo,FEDERACIÓN COLOMBIANA DE CICLISMO,"592",7429.13016070598,"40040","4004","0",0,"37",842,"24",Transversal Buenaventura - Villavicencio - Puerto Carreño,Ibague (Puente Blanco) - Cruce Ruta 45 (Espinal),"2",,51.4645982951455,1. Bogotá-B/ventura-Ipiales
"9705",TOLIMA,Sin referencia,"Vía Calarcá - Ibagué por caída de piedra, en el Km 40+00. Aplica en ambos sentidos. No hay ruta alterna.",Calarcá - Ibagué,2021/06/21,-75.496683408,4.437880554,Caída de piedra,DITRA,"610",6843.1640202158,4003A,4003A,"5",0,"36",92,"20",Tramo alterno,Calarcá - Cajamarca,"1","40",31.2940740517854,1. Bogotá-B/ventura-Ipiales
"9706",TOLIMA,Sin referencia,"Vía Fresno - Honda por parte de las autoridades, km 45, aplica en ambos sentidos. No hay ruta alterna.",Fresno - Honda,2021/12/15,-74.749022996,5.20372263299998,Evento Especial,DITRA,"293",7220.70294352718,"500726","5007","26",695,"46",0,"24",Transversal Las Animas - Bogotá,Mariquita - Honda (Puente Luis Ignacio Andrade),"2",,18.9522270125025,2. Cali-Medellín-Cartagena
"9707",TOLIMA,Variante de Melgar,"En la vía Girardot - Bogotá, sector Variante de Melgar, aplica en sentido Girardot - Bogotá. Ruta alterna: Los vehículos que se movilicen en sentido Bogotá - Girardot se habilita el paso por el perímetro urbano de Melgar.",Girardot - Bogotá,2023/01/02,-74.622788155,4.22670873499999,Alto flujo vehicular,Vía 40 Express,"273",4274.40198071984,"40050","4005","0",211,"62",980,"12",Transversal Buenaventura - Villavicencio - Puerto Carreño,Girardot - Fusagasugá,"2",,111.43698919418,1. Bogotá-B/ventura-Ipiales
"9708",TOLIMA,Fresno,(Aplica en ambos sentidos),Manizales -Mariquita,2021/04/28,-75.037279606,5.15041538000003,Agrupación de personas,DITRA,"198",8784.80087821047,"50070","5007","0",0,"26",695,"24",Transversal Las Animas - Bogotá,Fresno - Mariquita,"1",,26.0369401522311,2. Cali-Medellín-Cartagena
"9709",TOLIMA,Todo el tramo vial,"(Aplica en ambos sentidos)*ETAPA 1**.La Resolución 01131 del 28 de abril de 2021: Autoriza el cierre total de unos sectores de la Red Vial Nacional, para la realización del evento deportivo denominado “NOVENA VUELTA AL TOLIMA MÁSTER RECREATIVA 2021”. La ETAPA 1 se llevará a cabo el viernes 30 de abril de 2021 de 08:00 am a 01:00 pm.",Variante Norte de Ibagué,2021/04/30,-75.149219435,4.393032334,Evento Deportivo,CLUB DE CICLISMO LOS PIJAOS,"472",4379.14168887193,40TLF0,40TLF,"0",0,"17",0,"24",Alternas a la Transversal Buenaventura - Villavicencio - Puerto Carreño,Variante Picaleña,"2",,33.2076197331033,1. Bogotá-B/ventura-Ipiales
"9710",TOLIMA,Todo el tramo vial,(Aplica en ambos sentidos),Fresno  - Mariquita,2021/04/29,-74.961288754,5.190404726,Agrupación de personas,DITRA,"198",1016.58906522834,"50070","5007","0",0,"26",695,"24",Transversal Las Animas - Bogotá,Fresno - Mariquita,"1",,26.0369401522311,2. Cali-Medellín-Cartagena
"9711",TOLIMA,Sin referencia,"En la vía Cajamarca - Calarcá, km 37+340, aplica en sentido Cajamarca - Calarcá. No hay ruta alterna.",Cajamarca - Calarcá,2023/01/02,-75.505517094,4.43786182299999,Accidente,DITRA,"610",6203.87558186836,4003A,4003A,"5",0,"36",92,"20",Tramo alterno,Calarcá - Cajamarca,"1","40",31.2940740517854,1. Bogotá-B/ventura-Ipiales
